SKU,SKU Type,Country Seller,Domain Name,URL,Country Monitored,Review Date,Seller ID & Contract Details,Vat,Phone Number,Email Address,Physical Address,Correct Image,Naming,SKU,Product Name,Compatible Printers,Co-operation,Avoid Customer Confusion,Grey Trade,Shopping Experience
C2P04AE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/tinta-papel/hp/hp-62-negro-cartucho-de-tinta-original-c2p04ae-p-NC2P04AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.tintaslevante.es,https://www.tintaslevante.es/consumibles-originales/tinta-papel/hp/hp-364xl-negro-cartucho-de-tinta-original-cn684ee-p-NCN684EE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-44a-cf244a-negro-1000-paginias-190781977902__CF244A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-cf226a-negro-n26a-laserjet-pro-m402d-m402dn-m426-889296154761__CF226A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-cf217a-negro-17a-m102a-m102w-m130-m132-889894797407__CF217A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-cf410a-negro-2300pag-888793807507__CF410A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF540A,A-SKU Toner,Spain,www.dynos.es,https://www.dynos.es/toner-hp-203a-cf540a-negro-1400-paginas-0190781107088__CF540A.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH561EE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-301-ch561ee-negro-1050-3ml-1050-2050-2050s-884962894408__CH561EE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N9K06AE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-304-n9k06ae-negro-889894860750__N9K06AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6U66AE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-f6u66ae-negro-302-officejet-3830--888793803028__F6U66AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C2P04AE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-62-hp-c2p04ae-negro-888182461938__C2P04AE.html,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CN684EE,A-SKU Ink,Spain,www.dynos.es,https://www.dynos.es/cartucho-tinta-hp-364xl-cn684ee-negro-18ml-d5460-b8550-c6380-c5380-885631873670__CN684EE.html,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF244A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp9476/toner-hp-negro-44a,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
CF226A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7397/toner-hp-26a-negro-cf226a,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF217A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp8082/toner-hp-negro-17a-cf217a,Spain,9/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CF410A,A-SKU Toner,Spain,www.pcbox.es,https://www.pcbox.com/productos/hp7670/toner-hp-laserjet-negro-410a,Spain,9/24/2020,1,1,1,1,1,1,0,0,1,1,1,1,1,1
